ENTER_STDBY_DELAY!!
enter standby-mode! 
 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2058, vref:1255 mV
pwm output enable!
bat:4064mV, curr:370mA, ntc:8321R,  RMP:12000, duty:479, vbemf:597, bat_level:99, rpm_step:0, duty=479 
bat:4036mV, curr:730mA, ntc:8258R,  RMP:12152, duty:644, vbemf:545, bat_level:99, rpm_step:0, duty=644 
bat:4036mV, curr:730mA, ntc:8258R,  RMP:12152, duty:652, vbemf:513, bat_level:99, rpm_step:0, duty=652 
bat:4034mV, curr:750mA, ntc:8252R,  RMP:12152, duty:658, vbemf:479, bat_level:99, rpm_step:0, duty=658 
bat:4032mV, curr:770mA, ntc:8247R,  RMP:12152, duty:666, vbemf:562, bat_level:99, rpm_step:0, duty=666 
bat:4032mV, curr:770mA, ntc:8247R,  RMP:12152, duty:664, vbemf:589, bat_level:99, rpm_step:0, duty=664 
bat:4032mV, curr:730mA, ntc:8259R,  RMP:12152, duty:642, vbemf:570, bat_level:99, rpm_step:0, duty=642 
bat:4034mV, curr:710mA, ntc:8252R,  RMP:12152, duty:641, vbemf:546, bat_level:99, rpm_step:0, duty=641 
bat:4034mV, curr:710mA, ntc:8252R,  RMP:12152, duty:640, vbemf:553, bat_level:99, rpm_step:0, duty=640 
bat:4034mV, curr:710mA, ntc:8252R,  RMP:12152, duty:646, vbemf:510, bat_level:99, rpm_step:0, duty=646 
bat:4030mV, curr:790mA, ntc:8242R,  RMP:12227, duty:677, vbemf:541, bat_level:99, rpm_step:0, duty=677 
bat:4028mV, curr:810mA, ntc:8236R,  RMP:12137, duty:659, vbemf:587, bat_level:99, rpm_step:0, duty=659 
bat:4032mV, curr:730mA, ntc:8247R,  RMP:12137, duty:639, vbemf:564, bat_level:99, rpm_step:0, duty=639 
bat:4034mV, curr:690mA, ntc:8252R,  RMP:12122, duty:612, vbemf:569, bat_level:99, rpm_step:0, duty=612 
bat:4036mV, curr:650mA, ntc:8246R,  RMP:12122, duty:621, vbemf:490, bat_level:99, rpm_step:0, duty=621 
bat:4030mV, curr:730mA, ntc:8242R,  RMP:12122, duty:651, vbemf:538, bat_level:99, rpm_step:0, duty=651 
bat:4030mV, curr:710mA, ntc:8242R,  RMP:12122, duty:628, vbemf:611, bat_level:99, rpm_step:0, duty=628 
bat:4034mV, curr:650mA, ntc:8241R,  RMP:12124, duty:618, vbemf:529, bat_level:99, rpm_step:0, duty=618 
bat:4030mV, curr:710mA, ntc:8230R,  RMP:12124, duty:647, vbemf:548, bat_level:99, rpm_step:0, duty=647 
bat:4028mV, curr:750mA, ntc:8236R,  RMP:12124, duty:660, vbemf:582, bat_level:99, rpm_step:0, duty=660 
bat:4026mV, curr:790mA, ntc:8231R,  RMP:12124, duty:675, vbemf:555, bat_level:99, rpm_step:0, duty=675 
bat:4024mV, curr:790mA, ntc:8226R,  RMP:12124, duty:664, vbemf:515, bat_level:99, rpm_step:0, duty=664 
bat:4024mV, curr:790mA, ntc:8226R,  RMP:12124, duty:668, vbemf:613, bat_level:99, rpm_step:0, duty=668 
bat:4024mV, curr:770mA, ntc:8214R,  RMP:12124, duty:667, vbemf:546, bat_level:99, rpm_step:0, duty=667 
bat:4024mV, curr:790mA, ntc:8214R,  RMP:12124, duty:673, vbemf:584, bat_level:99, rpm_step:0, duty=673 
bat:4022mV, curr:790mA, ntc:8209R,  RMP:12124, duty:669, vbemf:619, bat_level:99, rpm_step:0, duty=669 
bat:4024mV, curr:790mA, ntc:8214R,  RMP:12124, duty:670, vbemf:530, bat_level:99, rpm_step:0, duty=670 
bat:4022mV, curr:830mA, ntc:8220R,  RMP:12124, duty:690, vbemf:548, bat_level:99, rpm_step:0, duty=690 
bat:4022mV, curr:810mA, ntc:8209R,  RMP:12124, duty:667, vbemf:584, bat_level:99, rpm_step:0, duty=667 
bat:4022mV, curr:810mA, ntc:8209R,  RMP:12349, duty:676, vbemf:367, bat_level:99, rpm_step:0, duty=676 
bat:4016mV, curr:890mA, ntc:8193R,  RMP:12229, duty:707, vbemf:521, bat_level:99, rpm_step:-15, duty=707 
bat:4022mV, curr:770mA, ntc:8209R,  RMP:12126, duty:637, vbemf:534, bat_level:99, rpm_step:0, duty=637 
bat:4024mV, curr:730mA, ntc:8203R,  RMP:12126, duty:653, vbemf:527, bat_level:99, rpm_step:0, duty=653 
bat:4022mV, curr:750mA, ntc:8198R,  RMP:12126, duty:663, vbemf:482, bat_level:99, rpm_step:0, duty=663 
bat:4018mV, curr:830mA, ntc:8198R,  RMP:12126, duty:660, vbemf:555, bat_level:99, rpm_step:0, duty=660 
bat:4022mV, curr:750mA, ntc:8198R,  RMP:12126, duty:660, vbemf:517, bat_level:99, rpm_step:0, duty=660 
bat:4022mV, curr:770mA, ntc:8198R,  RMP:12126, duty:661, vbemf:546, bat_level:99, rpm_step:0, duty=661 
bat:4016mV, curr:850mA, ntc:8193R,  RMP:12276, duty:702, vbemf:438, bat_level:99, rpm_step:-15, duty=702 
bat:4012mV, curr:890mA, ntc:8182R,  RMP:12111, duty:704, vbemf:603, bat_level:99, rpm_step:0, duty=704 
bat:4012mV, curr:890mA, ntc:8182R,  RMP:12111, duty:703, vbemf:582, bat_level:99, rpm_step:0, duty=703 
bat:4012mV, curr:890mA, ntc:8171R,  RMP:12111, duty:706, vbemf:550, bat_level:99, rpm_step:0, duty=706 
bat:4012mV, curr:890mA, ntc:8171R,  RMP:12111, duty:710, vbemf:491, bat_level:99, rpm_step:0, duty=710 
bat:4010mV, curr:910mA, ntc:8177R,  RMP:12111, duty:718, vbemf:498, bat_level:99, rpm_step:0, duty=718 
bat:4010mV, curr:910mA, ntc:8166R,  RMP:12111, duty:711, vbemf:630, bat_level:99, rpm_step:0, duty=711 
bat:4012mV, curr:890mA, ntc:8171R,  RMP:12111, duty:706, vbemf:575, bat_level:99, rpm_step:0, duty=706 
bat:4012mV, curr:870mA, ntc:8160R,  RMP:12111, duty:699, vbemf:591, bat_level:99, rpm_step:0, duty=699 
bat:4014mV, curr:830mA, ntc:8165R,  RMP:12111, duty:684, vbemf:575, bat_level:99, rpm_step:0, duty=684 
bat:4016mV, curr:790mA, ntc:8170R,  RMP:12111, duty:675, vbemf:575, bat_level:99, rpm_step:0, duty=675 
bat:4016mV, curr:790mA, ntc:8159R,  RMP:12111, duty:675, vbemf:539, bat_level:99, rpm_step:0, duty=675 
bat:4014mV, curr:830mA, ntc:8154R,  RMP:12111, duty:687, vbemf:544, bat_level:99, rpm_step:0, duty=687 
bat:4012mV, curr:850mA, ntc:8148R,  RMP:12111, duty:697, vbemf:572, bat_level:99, rpm_step:0, duty=697 
bat:4012mV, curr:850mA, ntc:8148R,  RMP:12111, duty:697, vbemf:582, bat_level:99, rpm_step:0, duty=697 
bat:4012mV, curr:870mA, ntc:8148R,  RMP:12111, duty:697, vbemf:554, bat_level:99, rpm_step:0, duty=697 
bat:4012mV, curr:850mA, ntc:8148R,  RMP:12111, duty:690, vbemf:579, bat_level:99, rpm_step:0, duty=690 
bat:4012mV, curr:850mA, ntc:8137R,  RMP:12096, duty:692, vbemf:551, bat_level:99, rpm_step:0, duty=692 
bat:4010mV, curr:890mA, ntc:8132R,  RMP:12096, duty:716, vbemf:534, bat_level:99, rpm_step:0, duty=716 
bat:4008mV, curr:910mA, ntc:8138R,  RMP:12096, duty:706, vbemf:543, bat_level:99, rpm_step:0, duty=706 
bat:4008mV, curr:910mA, ntc:8126R,  RMP:12096, duty:708, vbemf:589, bat_level:99, rpm_step:0, duty=708 
bat:4008mV, curr:910mA, ntc:8126R,  RMP:12096, duty:719, vbemf:504, bat_level:99, rpm_step:0, duty=719 
bat:4006mV, curr:930mA, ntc:8121R,  RMP:12096, duty:724, vbemf:496, bat_level:99, rpm_step:0, duty=724 
bat:4004mV, curr:950mA, ntc:8116R,  RMP:12096, duty:723, vbemf:591, bat_level:99, rpm_step:0, duty=723 
bat:4006mV, curr:910mA, ntc:8110R,  RMP:12096, duty:712, vbemf:604, bat_level:99, rpm_step:0, duty=712 
bat:4006mV, curr:910mA, ntc:8110R,  RMP:12096, duty:712, vbemf:500, bat_level:99, rpm_step:0, duty=712 
bat:4006mV, curr:910mA, ntc:8110R,  RMP:12096, duty:713, vbemf:512, bat_level:99, rpm_step:0, duty=713 
bat:4006mV, curr:910mA, ntc:8099R,  RMP:12096, duty:713, vbemf:564, bat_level:99, rpm_step:0, duty=713 
bat:4004mV, curr:910mA, ntc:8105R,  RMP:12096, duty:718, vbemf:525, bat_level:99, rpm_step:0, duty=718 
bat:4004mV, curr:910mA, ntc:8093R,  RMP:12096, duty:717, vbemf:570, bat_level:99, rpm_step:0, duty=717 
bat:4004mV, curr:930mA, ntc:8093R,  RMP:12096, duty:723, vbemf:503, bat_level:99, rpm_step:0, duty=723 
bat:4000mV, curr:970mA, ntc:8083R,  RMP:12096, duty:735, vbemf:525, bat_level:99, rpm_step:0, duty=735 
bat:4000mV, curr:970mA, ntc:8083R,  RMP:12096, duty:734, vbemf:539, bat_level:99, rpm_step:0, duty=734 
bat:4000mV, curr:970mA, ntc:8083R,  RMP:12096, duty:734, vbemf:543, bat_level:99, rpm_step:0, duty=734 
bat:4000mV, curr:970mA, ntc:8083R,  RMP:12096, duty:734, vbemf:561, bat_level:99, rpm_step:0, duty=734 
bat:4000mV, curr:970mA, ntc:8083R,  RMP:12066, duty:732, vbemf:549, bat_level:99, rpm_step:0, duty=732 
bat:3998mV, curr:970mA, ntc:8066R,  RMP:12066, duty:732, vbemf:539, bat_level:99, rpm_step:0, duty=732 
bat:3998mV, curr:970mA, ntc:8066R,  RMP:12066, duty:737, vbemf:541, bat_level:99, rpm_step:0, duty=737 
bat:3996mV, curr:1010mA, ntc:8061R,  RMP:12066, duty:743, vbemf:521, bat_level:99, rpm_step:0, duty=743 
bat:3996mV, curr:1010mA, ntc:8061R,  RMP:12066, duty:752, vbemf:476, bat_level:99, rpm_step:0, duty=752 
bat:3994mV, curr:1030mA, ntc:8056R,  RMP:12066, duty:758, vbemf:547, bat_level:99, rpm_step:0, duty=758 
bat:3994mV, curr:1030mA, ntc:8045R,  RMP:12066, duty:757, vbemf:540, bat_level:99, rpm_step:0, duty=757 
bat:3994mV, curr:1030mA, ntc:8045R,  RMP:12066, duty:752, vbemf:543, bat_level:99, rpm_step:0, duty=752 
bat:3994mV, curr:1030mA, ntc:8045R,  RMP:12066, duty:751, vbemf:563, bat_level:99, rpm_step:0, duty=751 
bat:3994mV, curr:1010mA, ntc:8045R,  RMP:12066, duty:742, vbemf:545, bat_level:99, rpm_step:0, duty=742 
bat:3994mV, curr:1030mA, ntc:8033R,  RMP:12156, duty:765, vbemf:554, bat_level:99, rpm_step:-15, duty=765 
bat:3990mV, curr:1050mA, ntc:8034R,  RMP:12051, duty:757, vbemf:618, bat_level:99, rpm_step:0, duty=757 
bat:3990mV, curr:1070mA, ntc:8023R,  RMP:12051, duty:773, vbemf:570, bat_level:99, rpm_step:0, duty=773 
bat:3990mV, curr:1070mA, ntc:8023R,  RMP:12051, duty:760, vbemf:576, bat_level:99, rpm_step:0, duty=760 
bat:3994mV, curr:990mA, ntc:8022R,  RMP:12051, duty:734, vbemf:573, bat_level:99, rpm_step:0, duty=734 
bat:3994mV, curr:970mA, ntc:8022R,  RMP:12051, duty:736, vbemf:518, bat_level:99, rpm_step:0, duty=736 
bat:3994mV, curr:970mA, ntc:8022R,  RMP:12051, duty:736, vbemf:501, bat_level:99, rpm_step:0, duty=736 
bat:3994mV, curr:990mA, ntc:8011R,  RMP:12051, duty:741, vbemf:528, bat_level:99, rpm_step:0, duty=741 
bat:3994mV, curr:1010mA, ntc:8011R,  RMP:12051, duty:743, vbemf:565, bat_level:99, rpm_step:0, duty=743 
bat:3994mV, curr:990mA, ntc:8011R,  RMP:12051, duty:738, vbemf:565, bat_level:99, rpm_step:0, duty=738 
bat:3994mV, curr:950mA, ntc:8011R,  RMP:12051, duty:727, vbemf:478, bat_level:99, rpm_step:0, duty=727 
bat:3996mV, curr:910mA, ntc:8005R,  RMP:12051, duty:713, vbemf:540, bat_level:99, rpm_step:0, duty=713 
bat:3996mV, curr:910mA, ntc:7994R,  RMP:12051, duty:720, vbemf:604, bat_level:99, rpm_step:0, duty=720 
bat:3996mV, curr:910mA, ntc:7994R,  RMP:12051, duty:716, vbemf:492, bat_level:99, rpm_step:0, duty=716 
bat:3996mV, curr:930mA, ntc:7994R,  RMP:12051, duty:723, vbemf:509, bat_level:99, rpm_step:0, duty=723 
bat:3994mV, curr:950mA, ntc:7989R,  RMP:12051, duty:733, vbemf:531, bat_level:99, rpm_step:0, duty=733 
bat:3994mV, curr:950mA, ntc:7989R,  RMP:12051, duty:723, vbemf:590, bat_level:99, rpm_step:0, duty=723 
bat:3996mV, curr:910mA, ntc:7983R,  RMP:12051, duty:714, vbemf:477, bat_level:99, rpm_step:0, duty=714 
bat:3996mV, curr:910mA, ntc:7983R,  RMP:12051, duty:711, vbemf:535, bat_level:99, rpm_step:0, duty=711 
bat:3994mV, curr:930mA, ntc:7978R,  RMP:12171, duty:736, vbemf:513, bat_level:99, rpm_step:-15, duty=736 
bat:3990mV, curr:990mA, ntc:7968R,  RMP:12141, duty:750, vbemf:488, bat_level:99, rpm_step:0, duty=750 
bat:3990mV, curr:990mA, ntc:7968R,  RMP:12081, duty:733, vbemf:502, bat_level:99, rpm_step:0, duty=733 
bat:3990mV, curr:1010mA, ntc:7968R,  RMP:12081, duty:751, vbemf:502, bat_level:99, rpm_step:0, duty=751 
bat:3988mV, curr:1050mA, ntc:7962R,  RMP:12081, duty:766, vbemf:560, bat_level:99, rpm_step:0, duty=766 
bat:3984mV, curr:1070mA, ntc:7952R,  RMP:12081, duty:766, vbemf:505, bat_level:99, rpm_step:0, duty=766 
bat:3984mV, curr:1090mA, ntc:7952R,  RMP:12081, duty:774, vbemf:513, bat_level:99, rpm_step:0, duty=774 
bat:3982mV, curr:1110mA, ntc:7936R,  RMP:12081, duty:775, vbemf:573, bat_level:99, rpm_step:0, duty=775 
bat:3984mV, curr:1110mA, ntc:7930R,  RMP:12081, duty:786, vbemf:501, bat_level:99, rpm_step:0, duty=786 
bat:3980mV, curr:1150mA, ntc:7930R,  RMP:12081, duty:791, vbemf:519, bat_level:99, rpm_step:0, duty=791 
bat:3980mV, curr:1130mA, ntc:7919R,  RMP:12081, duty:784, vbemf:512, bat_level:99, rpm_step:0, duty=784 
bat:3980mV, curr:1150mA, ntc:7919R,  RMP:12081, duty:789, vbemf:534, bat_level:99, rpm_step:0, duty=789 
bat:3978mV, curr:1130mA, ntc:7914R,  RMP:12081, duty:789, vbemf:552, bat_level:99, rpm_step:0, duty=789 
bat:3980mV, curr:1150mA, ntc:7919R,  RMP:12081, duty:792, vbemf:535, bat_level:99, rpm_step:0, duty=792 
bat:3978mV, curr:1170mA, ntc:7903R,  RMP:12081, duty:796, vbemf:543, bat_level:99, rpm_step:0, duty=796 
bat:3978mV, curr:1170mA, ntc:7903R,  RMP:12081, duty:802, vbemf:555, bat_level:99, rpm_step:0, duty=802 
bat:3976mV, curr:1190mA, ntc:7898R,  RMP:12081, duty:801, vbemf:574, bat_level:99, rpm_step:0, duty=801 
bat:3976mV, curr:1170mA, ntc:7898R,  RMP:12081, duty:798, vbemf:581, bat_level:99, rpm_step:0, duty=798 
bat:3978mV, curr:1150mA, ntc:7903R,  RMP:12081, duty:786, vbemf:579, bat_level:99, rpm_step:0, duty=786 
bat:3978mV, curr:1110mA, ntc:7892R,  RMP:12081, duty:778, vbemf:574, bat_level:99, rpm_step:0, duty=778 
bat:3978mV, curr:1110mA, ntc:7881R,  RMP:12081, duty:786, vbemf:491, bat_level:99, rpm_step:0, duty=786 
bat:3978mV, curr:1150mA, ntc:7881R,  RMP:12081, duty:797, vbemf:451, bat_level:99, rpm_step:0, duty=797 
bat:3974mV, curr:1190mA, ntc:7871R,  RMP:12081, duty:808, vbemf:492, bat_level:99, rpm_step:0, duty=808 
bat:3974mV, curr:1210mA, ntc:7871R,  RMP:12081, duty:812, vbemf:538, bat_level:99, rpm_step:0, duty=812 
bat:3974mV, curr:1190mA, ntc:7871R,  RMP:12066, duty:779, vbemf:592, bat_level:99, rpm_step:0, duty=779 
bat:3980mV, curr:1030mA, ntc:7865R,  RMP:12051, duty:757, vbemf:562, bat_level:99, rpm_step:0, duty=757 
bat:3980mV, curr:1050mA, ntc:7865R,  RMP:12051, duty:769, vbemf:507, bat_level:99, rpm_step:0, duty=769 
bat:3978mV, curr:1110mA, ntc:7860R,  RMP:12051, duty:788, vbemf:490, bat_level:99, rpm_step:0, duty=788 
bat:3974mV, curr:1170mA, ntc:7849R,  RMP:12051, duty:801, vbemf:521, bat_level:99, rpm_step:0, duty=801 
bat:3972mV, curr:1230mA, ntc:7844R,  RMP:12051, duty:822, vbemf:529, bat_level:99, rpm_step:0, duty=822 
bat:3970mV, curr:1250mA, ntc:7839R,  RMP:12051, duty:819, vbemf:578, bat_level:99, rpm_step:0, duty=819 
bat:3972mV, curr:1230mA, ntc:7844R,  RMP:12051, duty:814, vbemf:573, bat_level:99, rpm_step:0, duty=814 
bat:3972mV, curr:1230mA, ntc:7833R,  RMP:12051, duty:812, vbemf:539, bat_level:99, rpm_step:0, duty=812 
bat:3972mV, curr:1210mA, ntc:7833R,  RMP:12051, duty:813, vbemf:537, bat_level:99, rpm_step:0, duty=813 
bat:3968mV, curr:1290mA, ntc:7823R,  RMP:12081, duty:836, vbemf:624, bat_level:99, rpm_step:0, duty=836 
bat:3970mV, curr:1230mA, ntc:7828R,  RMP:12051, duty:805, vbemf:573, bat_level:99, rpm_step:0, duty=805 
bat:3970mV, curr:1230mA, ntc:7817R,  RMP:12186, duty:829, vbemf:545, bat_level:99, rpm_step:-15, duty=829 
bat:3966mV, curr:1290mA, ntc:7818R,  RMP:12051, duty:834, vbemf:557, bat_level:99, rpm_step:0, duty=834 
bat:3966mV, curr:1290mA, ntc:7807R,  RMP:12051, duty:833, vbemf:594, bat_level:99, rpm_step:0, duty=833 
bat:3966mV, curr:1250mA, ntc:7796R,  RMP:12051, duty:821, vbemf:588, bat_level:99, rpm_step:0, duty=821 
bat:3968mV, curr:1230mA, ntc:7802R,  RMP:12051, duty:825, vbemf:551, bat_level:99, rpm_step:0, duty=825 
bat:3966mV, curr:1270mA, ntc:7796R,  RMP:12051, duty:830, vbemf:552, bat_level:99, rpm_step:0, duty=830 
bat:3966mV, curr:1270mA, ntc:7786R,  RMP:12051, duty:828, vbemf:552, bat_level:99, rpm_step:0, duty=828 
bat:3966mV, curr:1270mA, ntc:7786R,  RMP:12051, duty:822, vbemf:623, bat_level:99, rpm_step:0, duty=822 
bat:3972mV, curr:1110mA, ntc:7790R,  RMP:12021, duty:777, vbemf:575, bat_level:99, rpm_step:0, duty=777 
bat:3972mV, curr:1110mA, ntc:7780R,  RMP:12021, duty:777, vbemf:562, bat_level:99, rpm_step:0, duty=777 
bat:3972mV, curr:1130mA, ntc:7780R,  RMP:12021, duty:788, vbemf:504, bat_level:99, rpm_step:0, duty=788 
bat:3972mV, curr:1130mA, ntc:7780R,  RMP:12021, duty:791, vbemf:529, bat_level:99, rpm_step:0, duty=791 
bat:3968mV, curr:1170mA, ntc:7769R,  RMP:12021, duty:804, vbemf:521, bat_level:99, rpm_step:0, duty=804 
bat:3968mV, curr:1190mA, ntc:7769R,  RMP:12021, duty:806, vbemf:556, bat_level:99, rpm_step:0, duty=806 
bat:3968mV, curr:1210mA, ntc:7769R,  RMP:12021, duty:812, vbemf:494, bat_level:99, rpm_step:0, duty=812 
bat:3964mV, curr:1290mA, ntc:7748R,  RMP:12021, duty:830, vbemf:482, bat_level:99, rpm_step:0, duty=830 
bat:3962mV, curr:1310mA, ntc:7754R,  RMP:12021, duty:845, vbemf:512, bat_level:99, rpm_step:0, duty=845 
bat:3960mV, curr:1350mA, ntc:7738R,  RMP:12021, duty:850, vbemf:514, bat_level:99, rpm_step:0, duty=850 
bat:3958mV, curr:1390mA, ntc:7733R,  RMP:12021, duty:862, vbemf:444, bat_level:99, rpm_step:0, duty=862 
bat:3956mV, curr:1450mA, ntc:7728R,  RMP:12021, duty:883, vbemf:481, bat_level:99, rpm_step:0, duty=883 
bat:3950mV, curr:1510mA, ntc:7712R,  RMP:12081, duty:877, vbemf:546, bat_level:99, rpm_step:0, duty=877 
bat:3952mV, curr:1490mA, ntc:7717R,  RMP:12081, duty:888, vbemf:546, bat_level:99, rpm_step:0, duty=888 
bat:3950mV, curr:1470mA, ntc:7712R,  RMP:12066, duty:866, vbemf:600, bat_level:99, rpm_step:-15, duty=866 
bat:3952mV, curr:1410mA, ntc:7717R,  RMP:12066, duty:871, vbemf:496, bat_level:99, rpm_step:0, duty=871 
bat:3952mV, curr:1450mA, ntc:7707R,  RMP:12036, duty:870, vbemf:580, bat_level:99, rpm_step:0, duty=870 
bat:3954mV, curr:1390mA, ntc:7701R,  RMP:12036, duty:859, vbemf:586, bat_level:99, rpm_step:0, duty=859 
bat:3954mV, curr:1390mA, ntc:7701R,  RMP:12036, duty:861, vbemf:489, bat_level:99, rpm_step:0, duty=861 
bat:3952mV, curr:1410mA, ntc:7696R,  RMP:12036, duty:864, vbemf:534, bat_level:99, rpm_step:0, duty=864 
bat:3952mV, curr:1390mA, ntc:7696R,  RMP:12036, duty:858, vbemf:510, bat_level:99, rpm_step:0, duty=858 
bat:3952mV, curr:1370mA, ntc:7686R,  RMP:12036, duty:847, vbemf:544, bat_level:99, rpm_step:0, duty=847 
bat:3954mV, curr:1330mA, ntc:7680R,  RMP:12036, duty:844, vbemf:534, bat_level:99, rpm_step:0, duty=844 
bat:3954mV, curr:1350mA, ntc:7680R,  RMP:12036, duty:854, vbemf:549, bat_level:98, rpm_step:0, duty=854 
bat:3952mV, curr:1390mA, ntc:7675R,  RMP:12036, duty:862, vbemf:544, bat_level:98, rpm_step:0, duty=862 
bat:3950mV, curr:1450mA, ntc:7670R,  RMP:12036, duty:888, vbemf:517, bat_level:98, rpm_step:0, duty=888 
bat:3946mV, curr:1510mA, ntc:7660R,  RMP:12036, duty:894, vbemf:528, bat_level:98, rpm_step:0, duty=894 
bat:3946mV, curr:1530mA, ntc:7660R,  RMP:12036, duty:897, vbemf:560, bat_level:98, rpm_step:0, duty=897 
bat:3948mV, curr:1450mA, ntc:7655R,  RMP:12036, duty:866, vbemf:603, bat_level:98, rpm_step:0, duty=866 
bat:3954mV, curr:1310mA, ntc:7659R,  RMP:12021, duty:834, vbemf:532, bat_level:98, rpm_step:0, duty=834 
bat:3952mV, curr:1330mA, ntc:7654R,  RMP:12171, duty:845, vbemf:501, bat_level:98, rpm_step:0, duty=845 
bat:3952mV, curr:1330mA, ntc:7644R,  RMP:12096, duty:845, vbemf:528, bat_level:98, rpm_step:0, duty=845 
bat:3952mV, curr:1330mA, ntc:7644R,  RMP:12036, duty:842, vbemf:553, bat_level:98, rpm_step:0, duty=842 
bat:3952mV, curr:1310mA, ntc:7644R,  RMP:12021, duty:840, vbemf:525, bat_level:98, rpm_step:0, duty=840 
bat:3952mV, curr:1330mA, ntc:7633R,  RMP:12021, duty:853, vbemf:569, bat_level:98, rpm_step:0, duty=853 
bat:3950mV, curr:1390mA, ntc:7628R,  RMP:12021, duty:863, vbemf:547, bat_level:98, rpm_step:0, duty=863 
bat:3950mV, curr:1390mA, ntc:7628R,  RMP:12021, duty:863, vbemf:556, bat_level:98, rpm_step:0, duty=863 
bat:3950mV, curr:1370mA, ntc:7628R,  RMP:12021, duty:857, vbemf:581, bat_level:98, rpm_step:0, duty=857 
bat:3950mV, curr:1370mA, ntc:7618R,  RMP:12021, duty:860, vbemf:540, bat_level:98, rpm_step:0, duty=860 
bat:3950mV, curr:1390mA, ntc:7618R,  RMP:12021, duty:861, vbemf:531, bat_level:98, rpm_step:0, duty=861 
bat:3950mV, curr:1350mA, ntc:7608R,  RMP:12021, duty:853, vbemf:527, bat_level:98, rpm_step:0, duty=853 
bat:3950mV, curr:1350mA, ntc:7608R,  RMP:12021, duty:853, vbemf:523, bat_level:98, rpm_step:0, duty=853 
bat:3950mV, curr:1330mA, ntc:7608R,  RMP:11991, duty:806, vbemf:531, bat_level:98, rpm_step:0, duty=806 
bat:3956mV, curr:1190mA, ntc:7613R,  RMP:11991, duty:806, vbemf:513, bat_level:98, rpm_step:0, duty=806 
bat:3956mV, curr:1210mA, ntc:7602R,  RMP:11991, duty:818, vbemf:479, bat_level:98, rpm_step:0, duty=818 
bat:3954mV, curr:1250mA, ntc:7597R,  RMP:11991, duty:823, vbemf:513, bat_level:98, rpm_step:0, duty=823 
bat:3954mV, curr:1270mA, ntc:7587R,  RMP:11991, duty:827, vbemf:492, bat_level:98, rpm_step:0, duty=827 
